rank,feature,f_score,model_importance
1,article_eyes_left_eye_p90_p95,36.790970902954875,0.5776572227478027
2,fusion_balance_article_nostrils_max_mean_radiance_delta,27.600923968180396,0.5268304347991943
3,article_all_left_eye_p90_p95,33.36115908928429,0.43570590019226074
4,article_eyes_left_eye_top5_mean_p95,31.012583519874482,0.2139439731836319
5,article_eyes_top5_mean_p95,24.08733688650765,0.19509926438331604
6,fusion_balance_detected_lower_face_max_mean_radiance_delta,23.642874748079386,0.19127899408340454
7,article_eyes_left_eye_max_p95,33.243246951323265,0.15605424344539642
8,article_eyes_left_eye_patch_max_p95,33.243246951323265,0.15605422854423523
9,article_all_left_eye_max_p95,33.243246951323265,0.1560536026954651
10,article_all_left_eye_patch_max_p95,33.243246951323265,0.1560535877943039
11,article_eyes_left_eye_p95_p95,29.979989934900544,0.14791180193424225
12,article_all_left_eye_top5_mean_p95,32.202049913844,0.1290438324213028
13,article_eyes_left_eye_p99_p95,31.709596272493204,0.09814102947711945
14,article_all_left_eye_p95_p95,30.975970288403452,0.06375119090080261
15,article_all_left_eye_p99_p95,32.26439834075654,0.06050831824541092
16,article_eyes_p99_p95,24.634680028274758,0.03966495022177696
17,article_eyes_left_eye_p75_p95,24.206453032533766,0.012035910971462727
18,article_eyes_p90_p95,22.804286328367386,0.0059966896660625935
19,article_eyes_patch_max_p95,27.978616340847445,0.004676199518144131
20,article_eyes_max_p95,27.978616340847445,0.004674311727285385
