date,sequence_num,input_frames,accepted_frames,accepted_fraction
02_01,0001,33,30,0.9090909090909091
02_01,0002,72,37,0.5138888888888888
02_01,0006,53,35,0.660377358490566
02_01,0007,47,42,0.8936170212765957
02_01,0008,63,40,0.6349206349206349
02_01,0009,41,27,0.6585365853658537
02_01,0010,27,25,0.9259259259259259
02_01,0011,31,28,0.9032258064516129
02_01,0012,27,18,0.6666666666666666
02_01,0013,27,19,0.7037037037037037
02_06,0001,27,22,0.8148148148148148
02_06,0002,34,24,0.7058823529411765
02_13,0002,30,9,0.3
02_13,0004,42,20,0.47619047619047616
02_13,0014,36,21,0.5833333333333334
02_13,0018,27,14,0.5185185185185185
02_13,0023,45,23,0.5111111111111111
02_13,0024,44,31,0.7045454545454546
02_13,0027,52,27,0.5192307692307693
02_13,0032,30,14,0.4666666666666667
02_13,0035,15,9,0.6
